date,event_id,start_time,home_abbr,away_abbr,selection,odds,model_prob,implied_prob,value,stake,status,payout,profit,actual_outcome,created_at,updated_at
2025-12-11,CGY-DET-2025-12-11,2025-12-11T02:30:00+01:00,CGY,DET,draw,3.95,0.362,0.253165,0.4299,100.0,lost,0.0,-100.0,away,2025-12-10T22:29:46.218261,2025-12-11T08:38:59.665101
2025-12-11,UTA-FLA-2025-12-11,2025-12-11T03:00:00+01:00,UTA,FLA,draw,3.9,0.328,0.25641,0.2792,100.0,lost,0.0,-100.0,away,2025-12-10T23:08:51.919382,2025-12-11T08:38:59.665123
2025-12-11,SEA-LAK-2025-12-11,2025-12-11T04:00:00+01:00,SEA,LAK,home,2.7,0.418,0.37037,0.1286,100.0,lost,0.0,-100.0,draw,2025-12-10T23:08:51.919391,2025-12-11T08:38:59.665145
2025-12-12,PHI-VGK-2025-12-12,2025-12-12T01:00:00+01:00,PHI,VGK,home,2.7,0.441,0.37037,0.1907,100.0,lost,0.0,-100.0,draw,2025-12-11T08:39:19.790843,2025-12-12T08:39:21.140080
2025-12-12,PIT-MTL-2025-12-12,2025-12-12T01:00:00+01:00,PIT,MTL,draw,3.95,0.299,0.253165,0.18105,100.0,lost,0.0,-100.0,away,2025-12-11T08:39:19.790852,2025-12-12T08:39:21.140110
2025-12-12,WSH-CAR-2025-12-12,2025-12-12T01:00:00+01:00,WSH,CAR,draw,3.95,0.308,0.253165,0.2166,100.0,won,395.0,295.0,draw,2025-12-11T08:39:19.790873,2025-12-12T08:39:21.140171
2025-12-12,NYI-ANA-2025-12-12,2025-12-12T01:00:00+01:00,NYI,ANA,draw,3.95,0.299,0.253165,0.18105,100.0,lost,0.0,-100.0,home,2025-12-11T08:39:19.790880,2025-12-12T08:39:21.140194
2025-12-12,TOR-SJS-2025-12-12,2025-12-12T01:00:00+01:00,TOR,SJS,away,3.4,0.376,0.294118,0.2784,100.0,lost,0.0,-100.0,draw,2025-12-11T08:39:19.790887,2025-12-12T08:39:21.140212
2025-12-12,WPG-BOS-2025-12-12,2025-12-12T02:00:00+01:00,WPG,BOS,draw,4.0,0.262,0.25,0.048,100.0,lost,0.0,-100.0,away,2025-12-11T08:39:19.790900,2025-12-12T08:39:21.140237
2025-12-12,NSH-STL-2025-12-12,2025-12-12T02:00:00+01:00,NSH,STL,draw,3.9,0.316,0.25641,0.2324,100.0,lost,0.0,-100.0,home,2025-12-11T08:39:19.790909,2025-12-12T08:39:21.140259
2025-12-12,MIN-DAL-2025-12-12,2025-12-12T02:00:00+01:00,MIN,DAL,home,2.6,0.49,0.384615,0.274,100.0,won,260.0,160.0,home,2025-12-11T08:39:19.790916,2025-12-12T08:39:21.140281
2025-12-12,EDM-DET-2025-12-12,2025-12-12T03:00:00+01:00,EDM,DET,draw,4.2,0.324,0.238095,0.3608,100.0,lost,0.0,-100.0,home,2025-12-11T08:39:19.790923,2025-12-12T08:39:21.140303
2025-12-12,COL-FLA-2025-12-12,2025-12-12T03:30:00+01:00,COL,FLA,away,4.1,0.318,0.243902,0.3038,100.0,lost,0.0,-100.0,home,2025-12-11T08:39:19.790929,2025-12-12T08:39:21.140325
2025-12-13,STL-CHI-2025-12-13,2025-12-13T02:00:00+01:00,STL,CHI,draw,3.95,0.336,0.253165,0.3272,100.0,lost,0.0,-100.0,home,2025-12-12T08:39:36.695437,2025-12-13T08:33:57.567750
2025-12-13,UTA-SEA-2025-12-13,2025-12-13T03:00:00+01:00,UTA,SEA,away,3.1,0.375,0.322581,0.1625,100.0,lost,0.0,-100.0,home,2025-12-12T08:39:36.695452,2025-12-13T08:33:57.568005
2025-12-13,NJD-ANA-2025-12-13,2025-12-13T18:30:00+01:00,NJD,ANA,away,2.55,0.399,0.392157,0.01745,100.0,lost,0.0,-100.0,home,2025-12-13T08:34:14.447135,2025-12-14T08:34:52.386589
2025-12-13,PIT-SJS-2025-12-13,2025-12-13T21:00:00+01:00,PIT,SJS,draw,4.1,0.306,0.243902,0.2546,100.0,won,410.0,310.0,draw,2025-12-13T08:34:14.447161,2025-12-14T08:34:52.386939
2025-12-13,NYI-TBL-2025-12-13,2025-12-13T21:30:00+01:00,NYI,TBL,draw,3.95,0.323,0.253165,0.27585,100.0,won,395.0,295.0,draw,2025-12-13T08:34:14.447175,2025-12-14T08:34:52.386975
2025-12-14,WPG-WSH-2025-12-14,2025-12-14T01:00:00+01:00,WPG,WSH,draw,3.95,0.344,0.253165,0.3588,100.0,lost,0.0,-100.0,home,2025-12-13T08:34:14.447183,2025-12-14T08:34:52.737650
2025-12-14,PHI-CAR-2025-12-14,2025-12-14T01:00:00+01:00,PHI,CAR,draw,3.95,0.373,0.253165,0.47335,100.0,won,395.0,295.0,draw,2025-12-13T08:34:14.447191,2025-12-14T08:34:52.737972
2025-12-14,NYR-MTL-2025-12-14,2025-12-14T01:00:00+01:00,NYR,MTL,draw,3.95,0.293,0.253165,0.15735,100.0,won,395.0,295.0,draw,2025-12-13T08:34:14.447199,2025-12-14T08:34:52.738014
2025-12-14,TOR-EDM-2025-12-14,2025-12-14T01:00:00+01:00,TOR,EDM,draw,4.0,0.296,0.25,0.184,100.0,lost,0.0,-100.0,away,2025-12-13T08:34:14.447224,2025-12-14T08:34:52.738079
2025-12-14,CHI-DET-2025-12-14,2025-12-14T02:00:00+01:00,CHI,DET,draw,4.1,0.319,0.243902,0.3079,100.0,lost,0.0,-100.0,away,2025-12-13T08:34:14.447232,2025-12-14T08:34:52.738109
2025-12-14,DAL-FLA-2025-12-14,2025-12-14T02:00:00+01:00,DAL,FLA,draw,4.0,0.284,0.25,0.136,100.0,lost,0.0,-100.0,away,2025-12-13T08:34:14.447239,2025-12-14T08:34:52.738140
2025-12-14,COL-NSH-2025-12-14,2025-12-14T03:00:00+01:00,COL,NSH,away,5.4,0.369,0.185185,0.9926,100.0,lost,0.0,-100.0,home,2025-12-13T08:34:14.447246,2025-12-14T08:34:52.738184
2025-12-14,PIT-UTA-2025-12-14,2025-12-14T21:00:00+01:00,PIT,UTA,home,2.6,0.515,0.384615,0.339,100.0,lost,0.0,-100.0,draw,2025-12-14T08:35:08.301690,2025-12-15T08:42:14.815770
2025-12-14,CAR-PHI-2025-12-14,2025-12-14T23:00:00+01:00,CAR,PHI,away,3.95,0.308,0.253165,0.2166,100.0,lost,0.0,-100.0,draw,2025-12-14T08:35:08.301700,2025-12-15T08:42:14.815808
2025-12-15,MTL-EDM-2025-12-15,2025-12-15T01:00:00+01:00,MTL,EDM,draw,4.0,0.333,0.25,0.332,100.0,lost,0.0,-100.0,home,2025-12-14T08:35:08.301708,2025-12-15T08:42:15.152411
2025-12-15,SEA-BUF-2025-12-15,2025-12-15T02:00:00+01:00,SEA,BUF,home,2.45,0.482,0.408163,0.1809,100.0,lost,0.0,-100.0,away,2025-12-14T08:35:08.301716,2025-12-15T08:42:15.152660
2025-12-16,TBL-FLA-2025-12-16,2025-12-16T01:00:00+01:00,TBL,FLA,draw,3.95,0.278,0.253165,0.0981,100.0,lost,0.0,-100.0,away,2025-12-15T08:42:29.955925,2025-12-16T08:40:50.839018
2025-12-17,MTL-PHI-2025-12-17,2025-12-17T01:00:00+01:00,MTL,PHI,away,2.65,0.386,0.377358,0.0229,100.0,won,265.0,165.0,away,2025-12-16T08:41:07.305246,2025-12-17T08:40:06.319567
2025-12-17,DET-NYI-2025-12-17,2025-12-17T01:00:00+01:00,DET,NYI,draw,3.85,0.265,0.25974,0.02025,100.0,lost,0.0,-100.0,home,2025-12-16T08:41:07.305264,2025-12-17T08:40:06.319869
2025-12-17,CBJ-ANA-2025-12-17,2025-12-17T01:00:00+01:00,CBJ,ANA,away,2.65,0.408,0.377358,0.0812,100.0,lost,0.0,-100.0,draw,2025-12-16T08:41:07.305274,2025-12-17T08:40:06.319899
2025-12-17,TOR-CHI-2025-12-17,2025-12-17T01:00:00+01:00,TOR,CHI,away,3.55,0.35,0.28169,0.2425,100.0,lost,0.0,-100.0,home,2025-12-16T08:41:07.305290,2025-12-17T08:40:06.319946
2025-12-17,BOS-UTA-2025-12-17,2025-12-17T01:00:00+01:00,BOS,UTA,home,2.35,0.539,0.425532,0.26665,100.0,won,235.0,135.0,home,2025-12-16T08:41:07.305298,2025-12-17T08:40:06.319965
2025-12-17,MIN-WSH-2025-12-17,2025-12-17T02:00:00+01:00,MIN,WSH,home,2.2,0.473,0.454545,0.0406,100.0,won,220.0,120.0,home,2025-12-16T08:41:07.305319,2025-12-17T08:40:06.320009
2025-12-18,NSH-CAR-2025-12-18,2025-12-18T02:00:00+01:00,NSH,CAR,home,3.1,0.396,0.322581,0.2276,100.0,lost,0.0,-100.0,away,2025-12-17T08:40:27.057768,2025-12-18T08:39:15.366178
2025-12-18,STL-WPG-2025-12-18,2025-12-18T02:00:00+01:00,STL,WPG,home,2.75,0.46,0.363636,0.265,100.0,won,275.0,175.0,home,2025-12-17T08:40:27.057781,2025-12-18T08:39:15.366210
2025-12-19,CBJ-MIN-2025-12-19,2025-12-19T01:00:00+01:00,CBJ,MIN,away,2.25,0.57,0.444444,0.2825,100.0,won,225.0,125.0,away,2025-12-18T08:39:35.133595,2025-12-19T08:38:58.547096
2025-12-19,BOS-EDM-2025-12-19,2025-12-19T01:00:00+01:00,BOS,EDM,draw,3.9,0.269,0.25641,0.0491,100.0,lost,0.0,-100.0,away,2025-12-18T08:39:35.133634,2025-12-19T08:38:58.547348
2025-12-19,TBL-LAK-2025-12-19,2025-12-19T01:00:00+01:00,TBL,LAK,away,3.25,0.324,0.307692,0.053,100.0,won,325.0,225.0,away,2025-12-18T08:39:35.133649,2025-12-19T08:38:58.547382
2025-12-19,MTL-CHI-2025-12-19,2025-12-19T01:00:00+01:00,MTL,CHI,away,3.2,0.43,0.3125,0.376,100.0,lost,0.0,-100.0,home,2025-12-18T08:39:35.133665,2025-12-19T08:38:58.547434
2025-12-19,WSH-TOR-2025-12-19,2025-12-19T01:00:00+01:00,WSH,TOR,away,2.8,0.397,0.357143,0.1116,100.0,lost,0.0,-100.0,home,2025-12-18T08:39:35.133673,2025-12-19T08:38:58.547457
2025-12-19,STL-NYR-2025-12-19,2025-12-19T02:00:00+01:00,STL,NYR,home,2.65,0.445,0.377358,0.17925,100.0,lost,0.0,-100.0,draw,2025-12-18T08:39:35.133680,2025-12-19T08:38:58.547480
2025-12-20,NYI-VAN-2025-12-20,2025-12-20T01:00:00+01:00,NYI,VAN,away,2.7,0.375,0.37037,0.0125,100.0,won,270.0,170.0,away,2025-12-19T08:39:16.815632,2025-12-20T08:34:26.535116
2025-12-20,FLA-CAR-2025-12-20,2025-12-20T01:00:00+01:00,FLA,CAR,home,2.45,0.438,0.408163,0.0731,100.0,lost,0.0,-100.0,draw,2025-12-19T08:39:16.815649,2025-12-20T08:34:26.535393
2025-12-20,COL-WPG-2025-12-20,2025-12-20T03:00:00+01:00,COL,WPG,away,4.0,0.492,0.25,0.968,100.0,lost,0.0,-100.0,home,2025-12-19T08:39:16.815659,2025-12-20T08:34:26.535432
2025-12-20,UTA-NJD-2025-12-20,2025-12-20T03:00:00+01:00,UTA,NJD,away,2.65,0.393,0.377358,0.04145,100.0,won,265.0,165.0,away,2025-12-19T08:39:16.815668,2025-12-20T08:34:26.535465
2025-12-20,NYR-PHI-2025-12-20,2025-12-20T18:30:00+01:00,NYR,PHI,away,2.6,0.425,0.384615,0.105,100.0,lost,0.0,-100.0,draw,2025-12-20T08:34:47.816180,2025-12-21T08:34:52.070367
2025-12-20,WSH-DET-2025-12-20,2025-12-20T18:30:00+01:00,WSH,DET,away,2.95,0.434,0.338983,0.2803,100.0,won,295.0,195.0,away,2025-12-20T08:34:47.816193,2025-12-21T08:34:52.070671
2025-12-20,OTT-CHI-2025-12-20,2025-12-20T21:00:00+01:00,OTT,CHI,away,4.2,0.437,0.238095,0.8354,100.0,lost,0.0,-100.0,home,2025-12-20T08:34:47.816215,2025-12-21T08:34:52.070749
2025-12-20,BUF-NYI-2025-12-20,2025-12-20T23:00:00+01:00,BUF,NYI,draw,3.95,0.263,0.253165,0.03885,100.0,won,395.0,295.0,draw,2025-12-20T08:34:47.816222,2025-12-21T08:34:52.070781
2025-12-21,FLA-STL-2025-12-21,2025-12-21T00:00:00+01:00,FLA,STL,away,3.1,0.379,0.322581,0.1749,100.0,won,310.0,210.0,away,2025-12-20T08:34:47.816231,2025-12-21T08:34:52.380893
2025-12-21,BOS-VAN-2025-12-21,2025-12-21T01:00:00+01:00,BOS,VAN,away,2.9,0.36,0.344828,0.044,100.0,lost,0.0,-100.0,draw,2025-12-20T08:34:47.816238,2025-12-21T08:34:52.381168
2025-12-21,NSH-TOR-2025-12-21,2025-12-21T01:00:00+01:00,NSH,TOR,home,2.45,0.416,0.408163,0.0192,100.0,won,245.0,145.0,home,2025-12-20T08:34:47.816250,2025-12-21T08:34:52.381211
2025-12-21,TBL-CAR-2025-12-21,2025-12-21T01:00:00+01:00,TBL,CAR,home,2.25,0.464,0.444444,0.044,100.0,won,225.0,125.0,home,2025-12-20T08:34:47.816259,2025-12-21T08:34:52.381240
2025-12-21,MTL-PIT-2025-12-21,2025-12-21T01:00:00+01:00,MTL,PIT,draw,3.9,0.266,0.25641,0.0374,100.0,lost,0.0,-100.0,home,2025-12-20T08:34:47.816266,2025-12-21T08:34:52.381266
2025-12-22,MIN-COL-2025-12-22,2025-12-22T00:00:00+01:00,MIN,COL,home,2.85,0.398,0.350877,0.1343,100.0,lost,0.0,-100.0,away,2025-12-21T08:35:08.250789,2025-12-22T08:40:26.881428
2025-12-22,PIT-MTL-2025-12-22,2025-12-22T01:00:00+01:00,PIT,MTL,home,2.2,0.493,0.454545,0.0846,100.0,lost,0.0,-100.0,draw,2025-12-21T08:35:08.250798,2025-12-22T08:40:26.881679
2025-12-22,NSH-NYR-2025-12-22,2025-12-22T01:00:00+01:00,NSH,NYR,home,2.4,0.43,0.416667,0.032,100.0,won,240.0,140.0,home,2025-12-21T08:35:08.250807,2025-12-22T08:40:26.881722
2025-12-22,NJD-BUF-2025-12-22,2025-12-22T01:00:00+01:00,NJD,BUF,draw,3.9,0.266,0.25641,0.0374,100.0,lost,0.0,-100.0,away,2025-12-21T08:35:08.250814,2025-12-22T08:40:26.881749
2025-12-22,BOS-OTT-2025-12-22,2025-12-22T01:00:00+01:00,BOS,OTT,home,2.6,0.475,0.384615,0.235,100.0,lost,0.0,-100.0,away,2025-12-21T08:35:08.250832,2025-12-22T08:40:26.881798
